"parameter","description","condition_tech","condition_species","condition_reg","value","confidence_l","confidence_h","unit","source","source_details","note"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_daily_spread","dairy_cattle",NA,0.07,0.05,0.6,NA,"IPCC-2019-vol.4","Table 10.22","Daily spread"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","dairy_cattle",NA,0.14,0.02,0.17,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – covered / compacted"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","dairy_cattle",NA,0.38,0.06,0.46,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – bulking agent addition"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","dairy_cattle",NA,0.11,0.01,0.14,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – additives"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","dairy_cattle",NA,0.3,0.1,0.4,NA,"IPCC-2019-vol.4","Table 10.22","solid storage"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","dairy_cattle",NA,0.3,0.2,0.5,NA,"IPCC-2019-vol.4","Table 10.22","dry lot"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_digesters","dairy_cattle",NA,0.275,0.05,0.5,NA,"IPCC-2019-vol.4","Table 10.22","anaerobic digester – we averaged the confidence interval limits to obtain a value"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","dairy_cattle",NA,0.25,0.1,0.3,NA,"IPCC-2019-vol.4","Table 10.22","cattle and swine deep bedding"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_composting","dairy_cattle",NA,0.45,0.07,0.54,NA,"IPCC-2019-vol.4","Table 10.22","mms_composting – in-vessel"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_composting","dairy_cattle",NA,0.5,0.07,0.6,NA,"IPCC-2019-vol.4","Table 10.22","mms_composting – static pile (forced aeration)"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_composting","dairy_cattle",NA,0.5,0.07,0.6,NA,"IPCC-2019-vol.4","Table 10.22","composting – intensive windrow"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_composting","dairy_cattle",NA,0.45,0.07,0.54,NA,"IPCC-2019-vol.4","Table 10.22","composting – passive windrow"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_other","dairy_cattle",NA,0.85,0.27,1,NA,"IPCC-2019-vol.4","Table 10.22","aerobic treatment – forced aeration system"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_anaerobic_lagoon","dairy_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","uncovered anaerobic lagoon"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_liquid_system","dairy_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","Liquid / slurry – with natural crust cover"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_liquid_system","dairy_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","Liquid / slurry – without natural crust cover"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_liquid_system","dairy_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","Liquid / slurry – cover"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","dairy_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","pit storage below animal confinement"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_daily_spread","dairy_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","Daily spread"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","dairy_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – covered / compacted"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","dairy_cattle",NA,0.02,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – bulking agent addition"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","dairy_cattle",NA,0.02,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – additives"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","dairy_cattle",NA,0.02,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","solid storage"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","dairy_cattle",NA,0.035,0,0.07,NA,"IPCC-2019-vol.4","Table 10.22","dry lot"
